C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00051 | Time(s) 0.0577 | Loss 1.1949 | Accuracy 0.8497 | ETputs(KTEPS) 159.80
Epoch 00052 | Time(s) 0.0578 | Loss 1.1495 | Accuracy 0.8497 | ETputs(KTEPS) 159.74
Epoch 00053 | Time(s) 0.0580 | Loss 1.3328 | Accuracy 0.8497 | ETputs(KTEPS) 158.99
Epoch 00054 | Time(s) 0.0580 | Loss 1.1696 | Accuracy 0.8497 | ETputs(KTEPS) 159.05
Epoch 00055 | Time(s) 0.0581 | Loss 1.1534 | Accuracy 0.8497 | ETputs(KTEPS) 158.95
Epoch 00056 | Time(s) 0.0580 | Loss 0.9567 | Accuracy 0.8497 | ETputs(KTEPS) 159.02
Epoch 00057 | Time(s) 0.0580 | Loss 0.9991 | Accuracy 0.8497 | ETputs(KTEPS) 159.12
Epoch 00058 | Time(s) 0.0580 | Loss 0.9173 | Accuracy 0.8497 | ETputs(KTEPS) 159.18
Epoch 00059 | Time(s) 0.0580 | Loss 1.1402 | Accuracy 0.8497 | ETputs(KTEPS) 159.19
Epoch 00060 | Time(s) 0.0580 | Loss 1.0460 | Accuracy 0.8497 | ETputs(KTEPS) 159.24
Epoch 00061 | Time(s) 0.0582 | Loss 0.7914 | Accuracy 0.8497 | ETputs(KTEPS) 158.60
Epoch 00062 | Time(s) 0.0582 | Loss 0.9853 | Accuracy 0.8497 | ETputs(KTEPS) 158.66
Epoch 00063 | Time(s) 0.0582 | Loss 1.0989 | Accuracy 0.8497 | ETputs(KTEPS) 158.58
Epoch 00064 | Time(s) 0.0582 | Loss 1.1709 | Accuracy 0.8497 | ETputs(KTEPS) 158.60
Epoch 00065 | Time(s) 0.0582 | Loss 0.9727 | Accuracy 0.8497 | ETputs(KTEPS) 158.61
Epoch 00066 | Time(s) 0.0582 | Loss 1.0401 | Accuracy 0.8497 | ETputs(KTEPS) 158.63
Epoch 00067 | Time(s) 0.0582 | Loss 0.8144 | Accuracy 0.8497 | ETputs(KTEPS) 158.60
Epoch 00068 | Time(s) 0.0582 | Loss 0.7832 | Accuracy 0.8497 | ETputs(KTEPS) 158.61
Epoch 00069 | Time(s) 0.0582 | Loss 0.9381 | Accuracy 0.8497 | ETputs(KTEPS) 158.63
Epoch 00070 | Time(s) 0.0582 | Loss 1.1204 | Accuracy 0.8497 | ETputs(KTEPS) 158.64
Epoch 00071 | Time(s) 0.0582 | Loss 0.8484 | Accuracy 0.8497 | ETputs(KTEPS) 158.49
Epoch 00072 | Time(s) 0.0583 | Loss 0.9239 | Accuracy 0.8497 | ETputs(KTEPS) 158.28
Epoch 00073 | Time(s) 0.0583 | Loss 1.1312 | Accuracy 0.8497 | ETputs(KTEPS) 158.37
Epoch 00074 | Time(s) 0.0583 | Loss 0.4915 | Accuracy 0.8497 | ETputs(KTEPS) 158.35
Epoch 00075 | Time(s) 0.0583 | Loss 1.0502 | Accuracy 0.8497 | ETputs(KTEPS) 158.40
Epoch 00076 | Time(s) 0.0583 | Loss 0.5047 | Accuracy 0.8497 | ETputs(KTEPS) 158.42
Epoch 00077 | Time(s) 0.0582 | Loss 0.5653 | Accuracy 0.8497 | ETputs(KTEPS) 158.47
Epoch 00078 | Time(s) 0.0582 | Loss 0.3579 | Accuracy 0.8497 | ETputs(KTEPS) 158.44
Epoch 00079 | Time(s) 0.0583 | Loss 0.7610 | Accuracy 0.8497 | ETputs(KTEPS) 158.39
Epoch 00080 | Time(s) 0.0582 | Loss 0.8178 | Accuracy 0.8497 | ETputs(KTEPS) 158.44
Epoch 00081 | Time(s) 0.0583 | Loss 0.5449 | Accuracy 0.8497 | ETputs(KTEPS) 158.42
Epoch 00082 | Time(s) 0.0582 | Loss 0.8439 | Accuracy 0.8497 | ETputs(KTEPS) 158.50
Epoch 00083 | Time(s) 0.0582 | Loss 0.5387 | Accuracy 0.8497 | ETputs(KTEPS) 158.54
Epoch 00084 | Time(s) 0.0582 | Loss 0.6596 | Accuracy 0.8497 | ETputs(KTEPS) 158.52
Epoch 00085 | Time(s) 0.0582 | Loss 0.4622 | Accuracy 0.8497 | ETputs(KTEPS) 158.50
Epoch 00086 | Time(s) 0.0582 | Loss 0.6898 | Accuracy 0.8497 | ETputs(KTEPS) 158.55
Epoch 00087 | Time(s) 0.0582 | Loss 0.6230 | Accuracy 0.8497 | ETputs(KTEPS) 158.62
Epoch 00088 | Time(s) 0.0583 | Loss 0.5919 | Accuracy 0.8497 | ETputs(KTEPS) 158.25
Epoch 00089 | Time(s) 0.0583 | Loss 0.2876 | Accuracy 0.8497 | ETputs(KTEPS) 158.21
Epoch 00090 | Time(s) 0.0583 | Loss 0.5156 | Accuracy 0.8497 | ETputs(KTEPS) 158.19
Epoch 00091 | Time(s) 0.0583 | Loss 0.4866 | Accuracy 0.8497 | ETputs(KTEPS) 158.23
Epoch 00092 | Time(s) 0.0583 | Loss 0.4319 | Accuracy 0.8497 | ETputs(KTEPS) 158.19
Epoch 00093 | Time(s) 0.0583 | Loss 0.4970 | Accuracy 0.8497 | ETputs(KTEPS) 158.20
Epoch 00094 | Time(s) 0.0583 | Loss 0.4390 | Accuracy 0.8497 | ETputs(KTEPS) 158.19
