C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00051 | Time(s) 0.0596 | Loss 0.1641 | Accuracy 0.8892 | ETputs(KTEPS) 177.23
Epoch 00052 | Time(s) 0.0596 | Loss 0.1573 | Accuracy 0.8892 | ETputs(KTEPS) 177.06
Epoch 00053 | Time(s) 0.0600 | Loss 0.2057 | Accuracy 0.8892 | ETputs(KTEPS) 175.86
Epoch 00054 | Time(s) 0.0607 | Loss 0.1834 | Accuracy 0.8892 | ETputs(KTEPS) 173.98
Epoch 00055 | Time(s) 0.0610 | Loss 0.3050 | Accuracy 0.8892 | ETputs(KTEPS) 173.05
Epoch 00056 | Time(s) 0.0620 | Loss 0.1810 | Accuracy 0.8892 | ETputs(KTEPS) 170.36
Epoch 00057 | Time(s) 0.0626 | Loss 0.1583 | Accuracy 0.8892 | ETputs(KTEPS) 168.64
Epoch 00058 | Time(s) 0.0623 | Loss 0.1393 | Accuracy 0.8892 | ETputs(KTEPS) 169.40
Epoch 00059 | Time(s) 0.0623 | Loss 0.1577 | Accuracy 0.8892 | ETputs(KTEPS) 169.39
Epoch 00060 | Time(s) 0.0621 | Loss 0.1167 | Accuracy 0.8892 | ETputs(KTEPS) 170.02
Epoch 00061 | Time(s) 0.0620 | Loss 0.1569 | Accuracy 0.8892 | ETputs(KTEPS) 170.31
Epoch 00062 | Time(s) 0.0633 | Loss 0.1472 | Accuracy 0.8892 | ETputs(KTEPS) 166.78
Epoch 00063 | Time(s) 0.0635 | Loss 0.1507 | Accuracy 0.8892 | ETputs(KTEPS) 166.15
Epoch 00064 | Time(s) 0.0635 | Loss 0.1511 | Accuracy 0.8892 | ETputs(KTEPS) 166.19
Epoch 00065 | Time(s) 0.0640 | Loss 0.1349 | Accuracy 0.8892 | ETputs(KTEPS) 164.90
Epoch 00066 | Time(s) 0.0640 | Loss 0.1432 | Accuracy 0.8892 | ETputs(KTEPS) 164.96
Epoch 00067 | Time(s) 0.0642 | Loss 0.1317 | Accuracy 0.8892 | ETputs(KTEPS) 164.32
Epoch 00068 | Time(s) 0.0642 | Loss 0.1527 | Accuracy 0.8892 | ETputs(KTEPS) 164.39
Epoch 00069 | Time(s) 0.0640 | Loss 0.1675 | Accuracy 0.8892 | ETputs(KTEPS) 165.06
Epoch 00070 | Time(s) 0.0641 | Loss 0.1492 | Accuracy 0.8892 | ETputs(KTEPS) 164.64
Epoch 00071 | Time(s) 0.0641 | Loss 0.1639 | Accuracy 0.8892 | ETputs(KTEPS) 164.70
Epoch 00072 | Time(s) 0.0638 | Loss 0.1409 | Accuracy 0.8892 | ETputs(KTEPS) 165.33
Epoch 00073 | Time(s) 0.0647 | Loss 0.1154 | Accuracy 0.8892 | ETputs(KTEPS) 163.06
Epoch 00074 | Time(s) 0.0646 | Loss 0.1476 | Accuracy 0.8892 | ETputs(KTEPS) 163.35
Epoch 00075 | Time(s) 0.0644 | Loss 0.1362 | Accuracy 0.8892 | ETputs(KTEPS) 163.97
Epoch 00076 | Time(s) 0.0650 | Loss 0.1343 | Accuracy 0.8892 | ETputs(KTEPS) 162.45
Epoch 00077 | Time(s) 0.0649 | Loss 0.1380 | Accuracy 0.8892 | ETputs(KTEPS) 162.53
Epoch 00078 | Time(s) 0.0648 | Loss 0.1393 | Accuracy 0.8892 | ETputs(KTEPS) 162.94
Epoch 00079 | Time(s) 0.0646 | Loss 0.1347 | Accuracy 0.8892 | ETputs(KTEPS) 163.53
Epoch 00080 | Time(s) 0.0645 | Loss 0.1367 | Accuracy 0.8892 | ETputs(KTEPS) 163.56
Epoch 00081 | Time(s) 0.0645 | Loss 0.1270 | Accuracy 0.8892 | ETputs(KTEPS) 163.62
Epoch 00082 | Time(s) 0.0645 | Loss 0.1169 | Accuracy 0.8892 | ETputs(KTEPS) 163.69
Epoch 00083 | Time(s) 0.0645 | Loss 0.1153 | Accuracy 0.8892 | ETputs(KTEPS) 163.75
Epoch 00084 | Time(s) 0.0643 | Loss 0.1319 | Accuracy 0.8892 | ETputs(KTEPS) 164.30
Epoch 00085 | Time(s) 0.0642 | Loss 0.1208 | Accuracy 0.8892 | ETputs(KTEPS) 164.35
Epoch 00086 | Time(s) 0.0640 | Loss 0.1126 | Accuracy 0.8892 | ETputs(KTEPS) 164.88
Epoch 00087 | Time(s) 0.0638 | Loss 0.1098 | Accuracy 0.8892 | ETputs(KTEPS) 165.40
Epoch 00088 | Time(s) 0.0636 | Loss 0.1048 | Accuracy 0.8892 | ETputs(KTEPS) 165.91
Epoch 00089 | Time(s) 0.0634 | Loss 0.1128 | Accuracy 0.8892 | ETputs(KTEPS) 166.42
Epoch 00090 | Time(s) 0.0632 | Loss 0.1088 | Accuracy 0.8892 | ETputs(KTEPS) 166.91
Epoch 00091 | Time(s) 0.0631 | Loss 0.1154 | Accuracy 0.8892 | ETputs(KTEPS) 167.40
Epoch 00092 | Time(s) 0.0631 | Loss 0.1034 | Accuracy 0.8892 | ETputs(KTEPS) 167.42
Epoch 00093 | Time(s) 0.0630 | Loss 0.1111 | Accuracy 0.8892 | ETputs(KTEPS) 167.43
Epoch 00094 | Time(s) 0.0632 | Loss 0.1117 | Accuracy 0.8892 | ETputs(KTEPS) 167.00
Epoch 00095 | Time(s) 0.0632 | Loss 0.1104 | Accuracy 0.8892 | ETputs(KTEPS) 167.02
Epoch 00096 | Time(s) 0.0632 | Loss 0.0947 | Accuracy 0.8892 | ETputs(KTEPS) 167.04
Epoch 00097 | Time(s) 0.0632 | Loss 0.1154 | Accuracy 0.8892 | ETputs(KTEPS) 167.06
Epoch 00098 | Time(s) 0.0631 | Loss 0.1057 | Accuracy 0.8892 | ETputs(KTEPS) 167.42
Epoch 00099 | Time(s) 0.0630 | Loss 0.1020 | Accuracy 0.8892 | ETputs(KTEPS) 167.44
Epoch 00100 | Time(s) 0.0630 | Loss 0.0989 | Accuracy 0.8892 | ETputs(KTEPS) 167.45
Epoch 00101 | Time(s) 0.0630 | Loss 0.1100 | Accuracy 0.8892 | ETputs(KTEPS) 167.47
Epoch 00102 | Time(s) 0.0629 | Loss 0.0989 | Accuracy 0.8892 | ETputs(KTEPS) 167.84
Epoch 00103 | Time(s) 0.0628 | Loss 0.1063 | Accuracy 0.8892 | ETputs(KTEPS) 168.10
Epoch 00104 | Time(s) 0.0628 | Loss 0.0931 | Accuracy 0.8892 | ETputs(KTEPS) 168.11
Epoch 00105 | Time(s) 0.0626 | Loss 0.0933 | Accuracy 0.8892 | ETputs(KTEPS) 168.52
Epoch 00106 | Time(s) 0.0625 | Loss 0.0914 | Accuracy 0.8892 | ETputs(KTEPS) 168.93
Epoch 00107 | Time(s) 0.0625 | Loss 0.0940 | Accuracy 0.8892 | ETputs(KTEPS) 168.93
Epoch 00108 | Time(s) 0.0625 | Loss 0.1004 | Accuracy 0.8892 | ETputs(KTEPS) 168.93
Epoch 00109 | Time(s) 0.0625 | Loss 0.1006 | Accuracy 0.8892 | ETputs(KTEPS) 168.93
Epoch 00110 | Time(s) 0.0625 | Loss 0.0949 | Accuracy 0.8892 | ETputs(KTEPS) 168.93
Epoch 00111 | Time(s) 0.0623 | Loss 0.0876 | Accuracy 0.8892 | ETputs(KTEPS) 169.32
Epoch 00112 | Time(s) 0.0622 | Loss 0.0961 | Accuracy 0.8892 | ETputs(KTEPS) 169.70
Epoch 00113 | Time(s) 0.0622 | Loss 0.1000 | Accuracy 0.8892 | ETputs(KTEPS) 169.70
Epoch 00114 | Time(s) 0.0621 | Loss 0.0928 | Accuracy 0.8892 | ETputs(KTEPS) 169.85
Epoch 00115 | Time(s) 0.0622 | Loss 0.0914 | Accuracy 0.8892 | ETputs(KTEPS) 169.84
Epoch 00116 | Time(s) 0.0620 | Loss 0.0869 | Accuracy 0.8892 | ETputs(KTEPS) 170.21
Epoch 00117 | Time(s) 0.0619 | Loss 0.0879 | Accuracy 0.8892 | ETputs(KTEPS) 170.57
Epoch 00118 | Time(s) 0.0618 | Loss 0.0812 | Accuracy 0.8892 | ETputs(KTEPS) 170.88
Epoch 00119 | Time(s) 0.0616 | Loss 0.0856 | Accuracy 0.8892 | ETputs(KTEPS) 171.23
Epoch 00120 | Time(s) 0.0615 | Loss 0.0787 | Accuracy 0.8892 | ETputs(KTEPS) 171.58
Epoch 00121 | Time(s) 0.0614 | Loss 0.1188 | Accuracy 0.8892 | ETputs(KTEPS) 171.93
Epoch 00122 | Time(s) 0.0613 | Loss 0.0904 | Accuracy 0.8892 | ETputs(KTEPS) 172.27
Epoch 00123 | Time(s) 0.0612 | Loss 0.0853 | Accuracy 0.8892 | ETputs(KTEPS) 172.60
Epoch 00124 | Time(s) 0.0610 | Loss 0.0847 | Accuracy 0.8892 | ETputs(KTEPS) 172.93
Epoch 00125 | Time(s) 0.0608 | Loss 0.0936 | Accuracy 0.8892 | ETputs(KTEPS) 173.62
Epoch 00126 | Time(s) 0.0606 | Loss 0.0923 | Accuracy 0.8892 | ETputs(KTEPS) 174.31
Epoch 00127 | Time(s) 0.0605 | Loss 0.0769 | Accuracy 0.8892 | ETputs(KTEPS) 174.57
Epoch 00128 | Time(s) 0.0602 | Loss 0.0883 | Accuracy 0.8892 | ETputs(KTEPS) 175.24
Epoch 00129 | Time(s) 0.0600 | Loss 0.0868 | Accuracy 0.8892 | ETputs(KTEPS) 175.86
Epoch 00130 | Time(s) 0.0598 | Loss 0.0944 | Accuracy 0.8892 | ETputs(KTEPS) 176.52
Epoch 00131 | Time(s) 0.0596 | Loss 0.0739 | Accuracy 0.8892 | ETputs(KTEPS) 177.18
Epoch 00132 | Time(s) 0.0594 | Loss 0.0846 | Accuracy 0.8892 | ETputs(KTEPS) 177.83
Epoch 00133 | Time(s) 0.0593 | Loss 0.0899 | Accuracy 0.8892 | ETputs(KTEPS) 178.11
Epoch 00134 | Time(s) 0.0591 | Loss 0.0764 | Accuracy 0.8892 | ETputs(KTEPS) 178.75
Epoch 00135 | Time(s) 0.0588 | Loss 0.0666 | Accuracy 0.8892 | ETputs(KTEPS) 179.39
Epoch 00136 | Time(s) 0.0588 | Loss 0.0787 | Accuracy 0.8892 | ETputs(KTEPS) 179.66
Epoch 00137 | Time(s) 0.0587 | Loss 0.0747 | Accuracy 0.8892 | ETputs(KTEPS) 179.93
Epoch 00138 | Time(s) 0.0586 | Loss 0.0813 | Accuracy 0.8892 | ETputs(KTEPS) 180.20
Epoch 00139 | Time(s) 0.0585 | Loss 0.0738 | Accuracy 0.8892 | ETputs(KTEPS) 180.46
Epoch 00140 | Time(s) 0.0583 | Loss 0.0708 | Accuracy 0.8892 | ETputs(KTEPS) 181.07
Epoch 00141 | Time(s) 0.0581 | Loss 0.0798 | Accuracy 0.8892 | ETputs(KTEPS) 181.68
Epoch 00142 | Time(s) 0.0580 | Loss 0.0691 | Accuracy 0.8892 | ETputs(KTEPS) 181.93
Epoch 00143 | Time(s) 0.0579 | Loss 0.0789 | Accuracy 0.8892 | ETputs(KTEPS) 182.18
Epoch 00144 | Time(s) 0.0579 | Loss 0.0786 | Accuracy 1.0000 | ETputs(KTEPS) 182.42
Epoch 00145 | Time(s) 0.0578 | Loss 0.0894 | Accuracy 1.0000 | ETputs(KTEPS) 182.67
Epoch 00146 | Time(s) 0.0576 | Loss 0.0669 | Accuracy 1.0000 | ETputs(KTEPS) 183.25
