C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00051 | Time(s) 0.0549 | Loss 1.5048 | Accuracy 0.8497 | ETputs(KTEPS) 168.19
Epoch 00052 | Time(s) 0.0548 | Loss 1.5088 | Accuracy 0.8497 | ETputs(KTEPS) 168.25
Epoch 00053 | Time(s) 0.0551 | Loss 1.4437 | Accuracy 0.8497 | ETputs(KTEPS) 167.53
Epoch 00054 | Time(s) 0.0550 | Loss 1.4320 | Accuracy 0.8497 | ETputs(KTEPS) 167.84
Epoch 00055 | Time(s) 0.0549 | Loss 1.4680 | Accuracy 0.8497 | ETputs(KTEPS) 168.13
Epoch 00056 | Time(s) 0.0548 | Loss 1.5132 | Accuracy 0.8497 | ETputs(KTEPS) 168.36
Epoch 00057 | Time(s) 0.0548 | Loss 1.5075 | Accuracy 0.8497 | ETputs(KTEPS) 168.36
Epoch 00058 | Time(s) 0.0547 | Loss 1.3673 | Accuracy 0.8497 | ETputs(KTEPS) 168.69
Epoch 00059 | Time(s) 0.0546 | Loss 1.3997 | Accuracy 0.8497 | ETputs(KTEPS) 168.89
Epoch 00060 | Time(s) 0.0545 | Loss 1.4227 | Accuracy 0.8497 | ETputs(KTEPS) 169.20
Epoch 00061 | Time(s) 0.0545 | Loss 1.3676 | Accuracy 0.8497 | ETputs(KTEPS) 169.34
Epoch 00062 | Time(s) 0.0544 | Loss 1.3995 | Accuracy 0.8497 | ETputs(KTEPS) 169.53
Epoch 00063 | Time(s) 0.0544 | Loss 1.2884 | Accuracy 0.8497 | ETputs(KTEPS) 169.76
Epoch 00064 | Time(s) 0.0543 | Loss 1.3909 | Accuracy 0.8497 | ETputs(KTEPS) 169.99
Epoch 00065 | Time(s) 0.0542 | Loss 1.3117 | Accuracy 0.8497 | ETputs(KTEPS) 170.16
Epoch 00066 | Time(s) 0.0542 | Loss 1.4047 | Accuracy 0.8497 | ETputs(KTEPS) 170.37
Epoch 00067 | Time(s) 0.0541 | Loss 1.2280 | Accuracy 0.8497 | ETputs(KTEPS) 170.53
Epoch 00068 | Time(s) 0.0540 | Loss 1.3276 | Accuracy 0.8497 | ETputs(KTEPS) 170.74
Epoch 00069 | Time(s) 0.0540 | Loss 1.1200 | Accuracy 0.8497 | ETputs(KTEPS) 170.89
Epoch 00070 | Time(s) 0.0539 | Loss 1.3030 | Accuracy 0.8497 | ETputs(KTEPS) 171.08
Epoch 00071 | Time(s) 0.0539 | Loss 1.1041 | Accuracy 0.8497 | ETputs(KTEPS) 171.22
Epoch 00072 | Time(s) 0.0539 | Loss 1.2584 | Accuracy 0.8497 | ETputs(KTEPS) 171.36
Epoch 00073 | Time(s) 0.0538 | Loss 1.3680 | Accuracy 0.8497 | ETputs(KTEPS) 171.54
Epoch 00074 | Time(s) 0.0538 | Loss 1.2902 | Accuracy 0.8497 | ETputs(KTEPS) 171.58
Epoch 00075 | Time(s) 0.0538 | Loss 1.2664 | Accuracy 0.8497 | ETputs(KTEPS) 171.58
Epoch 00076 | Time(s) 0.0538 | Loss 1.2045 | Accuracy 0.8497 | ETputs(KTEPS) 171.66
Epoch 00077 | Time(s) 0.0537 | Loss 1.3672 | Accuracy 0.8497 | ETputs(KTEPS) 171.82
Epoch 00078 | Time(s) 0.0536 | Loss 1.1543 | Accuracy 0.8497 | ETputs(KTEPS) 172.03
