C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00051 | Time(s) 0.0458 | Loss 0.3262 | Accuracy 0.8892 | ETputs(KTEPS) 230.29
Epoch 00052 | Time(s) 0.0457 | Loss 0.2345 | Accuracy 0.8892 | ETputs(KTEPS) 230.79
Epoch 00053 | Time(s) 0.0457 | Loss 0.1609 | Accuracy 0.8892 | ETputs(KTEPS) 230.77
Epoch 00054 | Time(s) 0.0457 | Loss 0.1661 | Accuracy 0.8892 | ETputs(KTEPS) 230.86
Epoch 00055 | Time(s) 0.0458 | Loss 0.1367 | Accuracy 0.8892 | ETputs(KTEPS) 230.46
Epoch 00056 | Time(s) 0.0457 | Loss 0.1358 | Accuracy 0.8892 | ETputs(KTEPS) 230.92
Epoch 00057 | Time(s) 0.0457 | Loss 0.1503 | Accuracy 0.8892 | ETputs(KTEPS) 230.91
Epoch 00058 | Time(s) 0.0457 | Loss 0.1344 | Accuracy 0.8892 | ETputs(KTEPS) 231.16
Epoch 00059 | Time(s) 0.0457 | Loss 0.1959 | Accuracy 0.8892 | ETputs(KTEPS) 230.97
Epoch 00060 | Time(s) 0.0458 | Loss 0.1584 | Accuracy 0.8892 | ETputs(KTEPS) 230.26
Epoch 00061 | Time(s) 0.0458 | Loss 0.1387 | Accuracy 0.8892 | ETputs(KTEPS) 230.68
Epoch 00062 | Time(s) 0.0457 | Loss 0.1506 | Accuracy 0.8892 | ETputs(KTEPS) 231.01
Epoch 00063 | Time(s) 0.0457 | Loss 0.1518 | Accuracy 0.8892 | ETputs(KTEPS) 231.16
Epoch 00064 | Time(s) 0.0456 | Loss 0.1425 | Accuracy 0.8892 | ETputs(KTEPS) 231.71
