C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00051 | Time(s) 0.0659 | Loss 1.2762 | Accuracy 0.8497 | ETputs(KTEPS) 139.94
Epoch 00052 | Time(s) 0.0659 | Loss 1.5037 | Accuracy 0.8497 | ETputs(KTEPS) 140.00
Epoch 00053 | Time(s) 0.0659 | Loss 1.4141 | Accuracy 0.8497 | ETputs(KTEPS) 140.05
Epoch 00054 | Time(s) 0.0658 | Loss 0.8645 | Accuracy 0.8497 | ETputs(KTEPS) 140.19
Epoch 00055 | Time(s) 0.0658 | Loss 1.0970 | Accuracy 0.8497 | ETputs(KTEPS) 140.24
Epoch 00056 | Time(s) 0.0660 | Loss 1.0517 | Accuracy 0.8497 | ETputs(KTEPS) 139.75
Epoch 00057 | Time(s) 0.0663 | Loss 0.8539 | Accuracy 0.8497 | ETputs(KTEPS) 139.29
Epoch 00058 | Time(s) 0.0662 | Loss 1.0805 | Accuracy 0.8497 | ETputs(KTEPS) 139.43
Epoch 00059 | Time(s) 0.0661 | Loss 0.5093 | Accuracy 0.8497 | ETputs(KTEPS) 139.57
Epoch 00060 | Time(s) 0.0661 | Loss 1.0169 | Accuracy 0.8497 | ETputs(KTEPS) 139.70
Epoch 00061 | Time(s) 0.0663 | Loss 0.9715 | Accuracy 0.8497 | ETputs(KTEPS) 139.27
Epoch 00062 | Time(s) 0.0662 | Loss 1.0515 | Accuracy 0.8497 | ETputs(KTEPS) 139.40
Epoch 00063 | Time(s) 0.0661 | Loss 0.7440 | Accuracy 0.8497 | ETputs(KTEPS) 139.53
Epoch 00064 | Time(s) 0.0661 | Loss 0.8462 | Accuracy 0.8497 | ETputs(KTEPS) 139.52
Epoch 00065 | Time(s) 0.0661 | Loss 0.4285 | Accuracy 0.8497 | ETputs(KTEPS) 139.65
Epoch 00066 | Time(s) 0.0661 | Loss 0.8162 | Accuracy 0.8497 | ETputs(KTEPS) 139.65
Epoch 00067 | Time(s) 0.0660 | Loss 0.6139 | Accuracy 0.8497 | ETputs(KTEPS) 139.76
Epoch 00068 | Time(s) 0.0660 | Loss 0.8619 | Accuracy 0.8497 | ETputs(KTEPS) 139.88
Epoch 00069 | Time(s) 0.0659 | Loss 0.5828 | Accuracy 0.8497 | ETputs(KTEPS) 139.99
